country,region,gdppcap08,polityIV
Albania,C&E Europe,7715,17.8
Algeria,Africa,8033,10
Angola,Africa,5899,8
Argentina,S. America,14333,18
Armenia,C&E Europe,6070,15
Australia,Asia-Pacific,35677,20
Austria,W. Europe,38152,20
Azerbaijan,C&E Europe,8765,3
Bahrain,Middle East,34605,3
Bangladesh,Asia-Pacific,1334,16
Belarus,C&E Europe,12261,3
Belgium,W. Europe,34493,20
Benin,Africa,1468,16.2
Bhutan,Asia-Pacific,4755,2
Bolivia,S. America,4278,18.2
Botswana,Africa,13392,19
Brazil,S. America,10296,18
Bulgaria,C&E Europe,12393,19
Burkina Faso,Africa,1161,10
Cambodia,Asia-Pacific,1905,12
Cameroon,Africa,2215,6
Canada,N. America,36444,20
Central African Republic,Africa,736,10.2
Chad,Africa,1455,8
Chile,S. America,14465,19.2
China,Asia-Pacific,5962,3
Colombia,S. America,8885,17
Comoros,Africa,1169,15.8
Congo Brazzaville,Africa,3946,6
Congo Kinshasa,Africa,321,15
Costa Rica,S. America,11241,20
Croatia,C&E Europe,19084,18.4
Cuba,S. America,9500,3
Czech Republic,C&E Europe,24712,20
Denmark,Scandinavia,36607,20
Djibouti,Africa,2140,12
Ecuador,S. America,8009,16.2
Egypt,Middle East,5416,4
El Salvador,S. America,6794,17
Equatorial Guinea,Africa,33873,5
Eritrea,Africa,632,3
Estonia,C&E Europe,20662,16
Fiji,Asia-Pacific,4382,13.8
Finland,Scandinavia,35427,20
France,W. Europe,34045,19
Gabon,Africa,14527,6
Gambia,Africa,1363,5
Georgia,C&E Europe,4896,15.666667
Germany,W. Europe,35613,20
Ghana,Africa,1452,16.666667
Greece,W. Europe,29361,20
Guatemala,S. America,4760,18
Guinea,Africa,1204,9
Guinea-Bissau,Africa,538,11
Guyana,S. America,2542,16
Haiti,S. America,1177,8
Honduras,S. America,3965,17
Hungary,C&E Europe,19330,20
India,Asia-Pacific,2972,19
Indonesia,Asia-Pacific,3975,16.666667
Iran,Middle East,11666,10
Iraq,Middle East,3570,1
Ireland,W. Europe,44200,20
Israel,Middle East,27548,20
Italy,W. Europe,30756,20
Jamaica,S. America,7705,19
Japan,Asia-Pacific,34099,20
Jordan,Middle East,5283,8
Kazakhstan,C&E Europe,11315,4
Kenya,Africa,1590,18
Korea South,Asia-Pacific,27939,18
Kuwait,Middle East,39914,3
Kyrgyzstan,C&E Europe,2188,7
Laos,Asia-Pacific,2134,3
Latvia,C&E Europe,17100,18
Lesotho,Africa,1588,18
Liberia,Africa,388,10
Libya,Middle East,15402,3
Lithuania,C&E Europe,18824,20
Macedonia,C&E Europe,10041,19
Madagascar,Africa,1049,17
Malawi,Africa,837,15
Malaysia,Asia-Pacific,14215,13
Mali,Africa,1128,16
Mauritania,Africa,2052,4
Mauritius,Africa,12079,20
Mexico,N. America,14495,18
Moldova,C&E Europe,2925,18
Mongolia,Asia-Pacific,3566,20
Morocco,Middle East,4388,4
Mozambique,Africa,855,16
Namibia,Africa,6343,16
Nepal,Asia-Pacific,1112,4
Netherlands,W. Europe,40849,20
New Zealand,Asia-Pacific,27029,20
Nicaragua,S. America,2682,18
Niger,Africa,684,15.333333
Nigeria,Africa,2082,14
Norway,Scandinavia,58138,20
Oman,Middle East,22478,2
Pakistan,Asia-Pacific,2644,5
Papua New Guinea,Asia-Pacific,2208,20
Paraguay,S. America,4709,17.666667
Peru,S. America,8507,19
Philippines,Asia-Pacific,3510,18
Poland,C&E Europe,17625,20
Portugal,W. Europe,23074,20
Qatar,Middle East,85868,0
Romania,C&E Europe,14065,18.333333
Russia,C&E Europe,16139,17
Rwanda,Africa,1022,6.6666667
Saudi Arabia,Middle East,23920,0
Senegal,Africa,1772,18
Sierra Leone,Africa,766,15
Singapore,Asia-Pacific,49284,8
Slovakia,C&E Europe,22081,19
Slovenia,C&E Europe,27605,20
Solomon Islands,Asia-Pacific,2610,18
South Africa,Africa,10109,19
Spain,W. Europe,31954,20
Sri Lanka,Asia-Pacific,4560,15.333333
Sudan,Africa,2153,4
Swaziland,Africa,4928,1
Sweden,Scandinavia,37383,20
Switzerland,W. Europe,42536,20
Taiwan,Asia-Pacific,30881,19.333333
Tajikistan,C&E Europe,1906,7.6666667
Tanzania,Africa,1263,11
Thailand,Asia-Pacific,7703,19
Togo,Africa,829,8
Tunisia,Middle East,7996,6
Turkey,Middle East,13920,17
Turkmenistan,C&E Europe,6641,1
UAE,Middle East,38830,2
Uganda,Africa,1165,6
Ukraine,C&E Europe,7271,16
United Kingdom,W. Europe,35445,20
United States,N. America,46716,20
Uruguay,S. America,12734,20
Uzbekistan,C&E Europe,2656,1
Venezuela,S. America,12804,16
Vietnam,Asia-Pacific,2785,3
Yemen,Middle East,2400,8
Zambia,Africa,1356,15
Zimbabwe,Africa,188,6